#sample, <y>, <y^2>
10, 0.005084, 9.98286
20, 0.010498, 20.0123
30, 0.015066, 30.0593
40, 0.009382, 40.0964
50, 0.010014, 50.0647
60, 0.013138, 59.9989
70, 0.006868, 70.0103
80, 0.005598, 79.9659
90, 0.005294, 89.9383
100, 0.001096, 99.9668
110, 0.005428, 110.041
120, 0.003542, 120.054
130, 0.004834, 130.116
140, 0.005528, 140.191
150, 0.003488, 150.005
160, 0.004532, 160.06
170, 0.00538, 170.094
180, 0.003762, 180.114
190, 0.00415, 190.287
200, 0.007958, 200.436
210, 0.009128, 210.627
220, 0.016684, 220.704
230, 0.014568, 230.8
240, 0.014754, 240.888
250, 0.012622, 250.827
260, 0.013646, 260.826
270, 0.01632, 271.053
280, 0.01688, 281.062
290, 0.016008, 290.918
300, 0.01575, 300.883
310, 0.009454, 310.685
320, 0.01496, 320.503
330, 0.011706, 330.342
340, 0.009568, 340.326
350, 0.012672, 350.284
360, 0.018538, 360.158
370, 0.014796, 370.291
380, 0.013838, 380.331
390, 0.012794, 390.415
400, 0.014912, 400.237
410, 0.019696, 410.178
420, 0.022302, 420.257
430, 0.020854, 430.312
440, 0.018258, 440.276
450, 0.020534, 450.214
460, 0.021392, 460.161
470, 0.019686, 470.138
480, 0.017628, 480.224
490, 0.017034, 490.086
500, 0.010332, 500.205
510, 0.011476, 510.283
520, 0.01097, 520.384
530, 0.01255, 530.46
540, 0.019674, 540.489
550, 0.018234, 550.69
560, 0.01602, 560.422
570, 0.01885, 570.712
580, 0.019692, 580.525
590, 0.027508, 590.569
600, 0.02907, 600.548
610, 0.028104, 610.207
620, 0.029376, 620.129
630, 0.02688, 630.279
640, 0.027144, 640.221
650, 0.031892, 649.8
660, 0.03263, 659.878
670, 0.034108, 669.844
680, 0.037854, 680.14
690, 0.032344, 689.952
700, 0.035748, 700.251
710, 0.033474, 710.3
720, 0.039838, 720.227
730, 0.033022, 730.045
740, 0.038252, 740.225
750, 0.03702, 750.303
760, 0.036126, 760.439
770, 0.03474, 769.983
780, 0.036458, 779.974
790, 0.03868, 789.752
800, 0.031982, 799.686
810, 0.030376, 809.711
820, 0.03514, 819.599
830, 0.036144, 829.318
840, 0.036692, 839.36
850, 0.028504, 849.141
860, 0.026744, 858.749
870, 0.02887, 868.74
880, 0.0218, 878.934
890, 0.027014, 889.2
900, 0.034452, 899.055
910, 0.032058, 909.125
920, 0.033246, 919.403
930, 0.03446, 929.309
940, 0.034334, 939.087
950, 0.036514, 948.797
960, 0.036948, 958.828
970, 0.037486, 968.826
980, 0.036178, 978.777
990, 0.036812, 988.886
1000, 0.041722, 998.838
