#t, E mean, E/N mean, M mean, M/N mean, M2 mean, M2/N mean
0, -5.74, -0.574, -0.46, -0.046, 33.24, 3.324
1, -6.9, -0.69, -0.52, -0.052, 51.52, 5.152
2, -7.66, -0.766, -0.7, -0.07, 62.6, 6.26
3, -8.06, -0.806, -0.74, -0.074, 69.24, 6.924
4, -8.38, -0.838, -1.28, -0.128, 75.28, 7.528
5, -8.74, -0.874, -1.66, -0.166, 82.68, 8.268
6, -8.82, -0.882, -2.04, -0.204, 88.56, 8.856
7, -9.06, -0.906, -1.46, -0.146, 90.36, 9.036
8, -9.34, -0.934, -1.8, -0.18, 97.84, 9.784
9, -9.62, -0.962, -1.98, -0.198, 110.36, 11.036
10, -9.74, -0.974, -1.86, -0.186, 113.96, 11.396
11, -9.86, -0.986, -1.88, -0.188, 116.24, 11.624
12, -9.94, -0.994, -1.74, -0.174, 117.56, 11.756
13, -10.02, -1.002, -1.8, -0.18, 117.68, 11.768
14, -10.1, -1.01, -1.9, -0.19, 120.12, 12.012
15, -10.1, -1.01, -2.02, -0.202, 120.6, 12.06
16, -10.14, -1.014, -2.08, -0.208, 121.04, 12.104
17, -10.26, -1.026, -2.2, -0.22, 127.04, 12.704
18, -10.26, -1.026, -2.16, -0.216, 123.76, 12.376
19, -10.26, -1.026, -2.12, -0.212, 122.56, 12.256
20, -10.22, -1.022, -2.28, -0.228, 123.28, 12.328
21, -10.3, -1.03, -2.32, -0.232, 124, 12.4
22, -10.34, -1.034, -2.44, -0.244, 125.92, 12.592
23, -10.3, -1.03, -2.3, -0.23, 123.32, 12.332
24, -10.34, -1.034, -2.26, -0.226, 123.24, 12.324
25, -10.38, -1.038, -2.32, -0.232, 124.88, 12.488
26, -10.38, -1.038, -2.36, -0.236, 125.76, 12.576
27, -10.38, -1.038, -2.24, -0.224, 124.32, 12.432
28, -10.38, -1.038, -2.26, -0.226, 124.68, 12.468
29, -10.42, -1.042, -2.3, -0.23, 125.8, 12.58
30, -10.42, -1.042, -2.22, -0.222, 126.04, 12.604
31, -10.54, -1.054, -2.14, -0.214, 127.8, 12.78
32, -10.54, -1.054, -2.06, -0.206, 128.28, 12.828
33, -10.54, -1.054, -2, -0.2, 129.12, 12.912
34, -10.54, -1.054, -1.9, -0.19, 132.12, 13.212
35, -10.58, -1.058, -1.88, -0.188, 132.96, 13.296
36, -10.58, -1.058, -1.88, -0.188, 132.96, 13.296
37, -10.58, -1.058, -1.88, -0.188, 132.96, 13.296
38, -10.58, -1.058, -1.88, -0.188, 132.96, 13.296
39, -10.58, -1.058, -1.88, -0.188, 132.96, 13.296
40, -10.58, -1.058, -1.88, -0.188, 132.96, 13.296
41, -10.58, -1.058, -1.88, -0.188, 132.96, 13.296
42, -10.58, -1.058, -1.88, -0.188, 132.96, 13.296
43, -10.58, -1.058, -1.88, -0.188, 132.96, 13.296
44, -10.58, -1.058, -1.88, -0.188, 132.96, 13.296
45, -10.58, -1.058, -1.88, -0.188, 132.96, 13.296
46, -10.58, -1.058, -1.88, -0.188, 132.96, 13.296
47, -10.58, -1.058, -1.88, -0.188, 132.96, 13.296
48, -10.58, -1.058, -1.88, -0.188, 132.96, 13.296
49, -10.54, -1.054, -1.8, -0.18, 132.64, 13.264
50, -10.54, -1.054, -1.82, -0.182, 132.6, 13.26
51, -10.5, -1.05, -1.84, -0.184, 132.4, 13.24
52, -10.5, -1.05, -1.84, -0.184, 132.32, 13.232
53, -10.54, -1.054, -1.8, -0.18, 132.64, 13.264
