#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var
2, -100.231, 3814.31, -102636, 3.9996e+09, -100.231, 3814.31, 1.45338e+10, 1.41576e+20, 1.41932e+07, 1.35017e+14, -782.227, 71580.7, -0.763894, 0.0682646, 718945, 6.76705e+10, 702.094, 64535.7
2.02, -88.0469, 4189.49, -90160.1, 4.393e+09, -88.0469, 4189.49, 1.25218e+10, 1.91254e+20, 1.22284e+07, 1.82394e+14, -695.642, 195271, -0.679338, 0.186225, 683852, 1.09616e+11, 667.824, 104538
2.04, -75.39, 4208.85, -77199.3, 4.4133e+09, -75.39, 4208.85, 1.0373e+10, 1.719e+20, 1.01299e+07, 1.63937e+14, -874.413, 58352.5, -0.853919, 0.0556493, 856503, 4.17993e+10, 836.428, 39862.9
2.06, -97.9803, 3776.48, -100332, 3.95993e+09, -97.9803, 3776.48, 1.40264e+10, 1.27987e+20, 1.36977e+07, 1.22058e+14, -786.507, 100333, -0.768074, 0.0956847, 723808, 6.23487e+10, 706.843, 59460.4
2.08, -115.05, 2460.48, -117811, 2.58e+09, -115.05, 2460.48, 1.64595e+10, 1.0762e+20, 1.60737e+07, 1.02634e+14, -681.215, 155341, -0.665249, 0.148145, 680678, 4.45098e+10, 664.724, 42447.8
2.1, -74.6995, 3847.96, -76492.3, 4.03488e+09, -74.6995, 3847.96, 9.88596e+09, 1.75492e+20, 9.65425e+06, 1.67362e+14, -809.301, 27080.1, -0.790333, 0.0258256, 726681, 1.14574e+10, 709.649, 10926.6
2.12, -60.2002, 4089.44, -61645, 4.28809e+09, -60.2002, 4089.44, 8.08821e+09, 1.44242e+20, 7.89864e+06, 1.37559e+14, -741, 86514.4, -0.723633, 0.0825065, 648869, 4.13778e+10, 633.661, 39460.9
2.14, -90.7818, 3822.16, -92960.6, 4.00783e+09, -90.7818, 3822.16, 1.26495e+10, 1.45738e+20, 1.2353e+07, 1.38986e+14, -816.739, 1346.94, -0.797597, 0.00128454, 679613, 2.99609e+09, 663.685, 2857.29
2.16, -113.714, 2692.24, -116443, 2.82302e+09, -113.714, 2692.24, 1.63819e+10, 1.01107e+20, 1.5998e+07, 9.64228e+13, -813.91, 1986.39, -0.794834, 0.00189437, 669845, 5.20888e+09, 654.145, 4967.58
2.18, -93.1623, 3996.88, -95398.2, 4.19103e+09, -93.1623, 3996.88, 1.32919e+10, 1.52904e+20, 1.29803e+07, 1.45821e+14, -797.443, 4209.62, -0.778753, 0.00401461, 649035, 1.04395e+10, 633.823, 9955.85
2.2, -82.9521, 3962.01, -84942.9, 4.15447e+09, -82.9521, 3962.01, 1.13698e+10, 1.56324e+20, 1.11033e+07, 1.49082e+14, -758.953, 5328.28, -0.741165, 0.00508144, 608419, 6.66444e+09, 594.159, 6355.7
2.22, -70.6254, 4117.32, -72320.4, 4.31732e+09, -70.6254, 4117.32, 9.54757e+09, 1.61366e+20, 9.3238e+06, 1.53891e+14, -708.622, 5117.8, -0.692014, 0.00488071, 539276, 8.523e+09, 526.637, 8128.17
2.24, -84.8089, 3799.97, -86844.3, 3.98456e+09, -84.8089, 3799.97, 1.15265e+10, 1.56752e+20, 1.12563e+07, 1.49491e+14, -688.802, 3942.4, -0.672658, 0.00375977, 502756, 5.38033e+09, 490.972, 5131.08
2.26, -96.9951, 3546.44, -99322.9, 3.71871e+09, -96.9951, 3546.44, 1.35838e+10, 1.24155e+20, 1.32654e+07, 1.18404e+14, -641.344, 13848.4, -0.626313, 0.0132069, 468135, 1.43822e+10, 457.163, 13715.9
