#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.2, -1.52539, 0, -1562, 0, -1.52539, 0, 2.44712e+06, 0, 2389.77, 0, 190.574, 0, 0.186107, 0, 650882, 0, 635.627, 0, 4.45173e+11, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.205, -1.57075, 0, -1608.45, 0, -1.57075, 0, 2.59419e+06, 0, 2533.39, 0, 375.791, 0, 0.366984, 0, 646521, 0, 631.368, 0, 4.37122e+11, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.21, -1.61547, 0, -1654.24, 0, -1.61547, 0, 2.74376e+06, 0, 2679.46, 0, 114.873, 0, 0.11218, 0, 638537, 0, 623.572, 0, 4.28365e+11, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.215, -1.52639, 0, -1563.02, 0, -1.52639, 0, 2.45082e+06, 0, 2393.38, 0, -286.002, 0, -0.279299, 0, 618400, 0, 603.906, 0, 4.07264e+11, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.22, -1.54534, 0, -1582.43, 0, -1.54534, 0, 2.5117e+06, 0, 2452.83, 0, -19.5897, 0, -0.0191306, 0, 617494, 0, 603.021, 0, 4.03498e+11, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.225, -1.49753, 0, -1533.47, 0, -1.49753, 0, 2.35956e+06, 0, 2304.25, 0, 4.59832, 0, 0.00449054, 0, 602062, 0, 587.951, 0, 3.88289e+11, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.23, -1.43712, 0, -1471.61, 0, -1.43712, 0, 2.17366e+06, 0, 2122.72, 0, 138.003, 0, 0.134768, 0, 596198, 0, 582.225, 0, 3.80692e+11, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.235, -1.45254, 0, -1487.4, 0, -1.45254, 0, 2.22089e+06, 0, 2168.83, 0, -16.2285, 0, -0.0158481, 0, 572736, 0, 559.313, 0, 3.58114e+11, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.24, -1.47824, 0, -1513.72, 0, -1.47824, 0, 2.29989e+06, 0, 2245.99, 0, 280.665, 0, 0.274087, 0, 567419, 0, 554.12, 0, 3.51536e+11, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.245, -1.55772, 0, -1595.11, 0, -1.55772, 0, 2.5533e+06, 0, 2493.46, 0, 177.685, 0, 0.173521, 0, 548573, 0, 535.715, 0, 3.33593e+11, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.25, -1.44913, 0, -1483.91, 0, -1.44913, 0, 2.21102e+06, 0, 2159.2, 0, 155.169, 0, 0.151532, 0, 539047, 0, 526.413, 0, 3.24337e+11, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.255, -1.43035, 0, -1464.68, 0, -1.43035, 0, 2.15442e+06, 0, 2103.93, 0, -227.538, 0, -0.222205, 0, 525608, 0, 513.289, 0, 3.09937e+11, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.26, -1.61053, 0, -1649.18, 0, -1.61053, 0, 2.72934e+06, 0, 2665.37, 0, 30.52, 0, 0.0298047, 0, 504057, 0, 492.243, 0, 2.91457e+11, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.265, -1.3333, 0, -1365.3, 0, -1.3333, 0, 1.87357e+06, 0, 1829.65, 0, -96.162, 0, -0.0939082, 0, 492237, 0, 480.7, 0, 2.79837e+11, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.27, -1.39445, 0, -1427.92, 0, -1.39445, 0, 2.04854e+06, 0, 2000.52, 0, 10.325, 0, 0.010083, 0, 483145, 0, 471.821, 0, 2.70683e+11, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.275, -1.36683, 0, -1399.63, 0, -1.36683, 0, 1.96896e+06, 0, 1922.81, 0, -43.7944, 0, -0.0427679, 0, 459789, 0, 449.012, 0, 2.52362e+11, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.28, -1.4089, 0, -1442.71, 0, -1.4089, 0, 2.09133e+06, 0, 2042.31, 0, 5.48807, 0, 0.00535944, 0, 446749, 0, 436.278, 0, 2.39985e+11, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.285, -1.39929, 0, -1432.88, 0, -1.39929, 0, 2.06344e+06, 0, 2015.08, 0, -30.3391, 0, -0.029628, 0, 429132, 0, 419.074, 0, 2.2717e+11, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.29, -1.37613, 0, -1409.15, 0, -1.37613, 0, 1.99585e+06, 0, 1949.07, 0, -45.125, 0, -0.0440674, 0, 419961, 0, 410.118, 0, 2.17788e+11, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.295, -1.30556, 0, -1336.89, 0, -1.30556, 0, 1.79762e+06, 0, 1755.49, 0, -12.9609, 0, -0.0126572, 0, 394533, 0, 385.286, 0, 1.99598e+11, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.3, -1.35377, 0, -1386.26, 0, -1.35377, 0, 1.93205e+06, 0, 1886.77, 0, -93.4433, 0, -0.0912532, 0, 382613, 0, 373.646, 0, 1.90195e+11, 0
