#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.2, -1.45454, 0, -372.361, 0, -1.45454, 0, 140260, 0, 547.891, 0, -21.226, 0, -0.0829139, 0, 42511.4, 0, 166.06, 0, 1.95988e+09, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.205, -1.52905, 0, -391.438, 0, -1.52905, 0, 154821, 0, 604.768, 0, 22.9991, 0, 0.08984, 0, 42400, 0, 165.625, 0, 1.9448e+09, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.21, -1.52114, 0, -389.413, 0, -1.52114, 0, 153290, 0, 598.79, 0, -54.5055, 0, -0.212912, 0, 41746.6, 0, 163.073, 0, 1.90128e+09, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.215, -1.59921, 0, -409.397, 0, -1.59921, 0, 169301, 0, 661.33, 0, 17.5101, 0, 0.0683989, 0, 41240.2, 0, 161.094, 0, 1.86428e+09, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.22, -1.55554, 0, -398.218, 0, -1.55554, 0, 160270, 0, 626.054, 0, -10.4287, 0, -0.0407373, 0, 40895.7, 0, 159.749, 0, 1.8377e+09, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.225, -1.51632, 0, -388.177, 0, -1.51632, 0, 152430, 0, 595.429, 0, -29.0946, 0, -0.113651, 0, 40284.6, 0, 157.362, 0, 1.7967e+09, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.23, -1.61071, 0, -412.342, 0, -1.61071, 0, 171823, 0, 671.182, 0, 11.154, 0, 0.0435704, 0, 39784.9, 0, 155.41, 0, 1.76548e+09, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.235, -1.36237, 0, -348.767, 0, -1.36237, 0, 123442, 0, 482.197, 0, 1.6049, 0, 0.00626914, 0, 39403.2, 0, 153.919, 0, 1.73494e+09, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.24, -1.56439, 0, -400.483, 0, -1.56439, 0, 162231, 0, 633.714, 0, -10.4591, 0, -0.040856, 0, 38693.2, 0, 151.145, 0, 1.68662e+09, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.245, -1.51977, 0, -389.061, 0, -1.51977, 0, 153230, 0, 598.555, 0, 16.4892, 0, 0.064411, 0, 38273.4, 0, 149.505, 0, 1.65923e+09, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.25, -1.62173, 0, -415.163, 0, -1.62173, 0, 174247, 0, 680.652, 0, 15.1546, 0, 0.0591976, 0, 37809.1, 0, 147.692, 0, 1.62529e+09, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.255, -1.57035, 0, -402.01, 0, -1.57035, 0, 163508, 0, 638.702, 0, -10.7237, 0, -0.0418894, 0, 37559.4, 0, 146.717, 0, 1.60578e+09, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.26, -1.3417, 0, -343.474, 0, -1.3417, 0, 119884, 0, 468.297, 0, 1.62114, 0, 0.00633257, 0, 36746.5, 0, 143.541, 0, 1.55163e+09, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.265, -1.4437, 0, -369.588, 0, -1.4437, 0, 138551, 0, 541.214, 0, 16.8314, 0, 0.0657477, 0, 36190, 0, 141.367, 0, 1.51857e+09, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.27, -1.45228, 0, -371.784, 0, -1.45228, 0, 140188, 0, 547.608, 0, 1.84488, 0, 0.00720658, 0, 35721, 0, 139.535, 0, 1.48572e+09, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.275, -1.30961, 0, -335.259, 0, -1.30961, 0, 114411, 0, 446.919, 0, -14.1763, 0, -0.055376, 0, 34886.7, 0, 136.276, 0, 1.43673e+09, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.28, -1.57723, 0, -403.77, 0, -1.57723, 0, 165042, 0, 644.695, 0, 4.62101, 0, 0.0180508, 0, 34541.6, 0, 134.928, 0, 1.41025e+09, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.285, -1.42774, 0, -365.502, 0, -1.42774, 0, 135654, 0, 529.898, 0, 16.11, 0, 0.0629295, 0, 33778.7, 0, 131.948, 0, 1.36969e+09, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.29, -1.57909, 0, -404.248, 0, -1.57909, 0, 165469, 0, 646.363, 0, 12.1068, 0, 0.047292, 0, 33557.3, 0, 131.083, 0, 1.35072e+09, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.295, -1.49325, 0, -382.273, 0, -1.49325, 0, 148196, 0, 578.89, 0, 3.21126, 0, 0.012544, 0, 33043.7, 0, 129.077, 0, 1.31659e+09, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.3, -1.40647, 0, -360.055, 0, -1.40647, 0, 131728, 0, 514.564, 0, -11.749, 0, -0.0458946, 0, 32303.4, 0, 126.185, 0, 1.27423e+09, 0
