#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.2, -1.58101, 0, -910.664, 0, -1.58101, 0, 833169, 0, 1446.47, 0, 43.1268, 0, 0.0748729, 0, 209515, 0, 363.741, 0, 4.65903e+10, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.205, -1.39379, 0, -802.826, 0, -1.39379, 0, 648453, 0, 1125.79, 0, -139.979, 0, -0.243019, 0, 206690, 0, 358.838, 0, 4.55045e+10, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.21, -1.67958, 0, -967.44, 0, -1.67958, 0, 939940, 0, 1631.84, 0, 151.571, 0, 0.263145, 0, 204856, 0, 355.652, 0, 4.47768e+10, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.215, -1.4169, 0, -816.133, 0, -1.4169, 0, 670048, 0, 1163.28, 0, 110.902, 0, 0.192539, 0, 202872, 0, 352.208, 0, 4.39172e+10, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.22, -1.5048, 0, -866.762, 0, -1.5048, 0, 755455, 0, 1311.55, 0, -61.6026, 0, -0.106949, 0, 198253, 0, 344.19, 0, 4.24528e+10, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.225, -1.58703, 0, -914.128, 0, -1.58703, 0, 839939, 0, 1458.23, 0, 163.501, 0, 0.283856, 0, 194503, 0, 337.679, 0, 4.11791e+10, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.23, -1.48459, 0, -855.125, 0, -1.48459, 0, 735593, 0, 1277.07, 0, -66.8044, 0, -0.11598, 0, 192994, 0, 335.059, 0, 4.05952e+10, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.235, -1.59291, 0, -917.514, 0, -1.59291, 0, 846334, 0, 1469.33, 0, 21.966, 0, 0.0381355, 0, 188351, 0, 326.998, 0, 3.9086e+10, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.24, -1.56884, 0, -903.654, 0, -1.56884, 0, 821134, 0, 1425.58, 0, 16.4765, 0, 0.028605, 0, 185669, 0, 322.342, 0, 3.81349e+10, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.245, -1.48443, 0, -855.033, 0, -1.48443, 0, 735723, 0, 1277.3, 0, -30.6122, 0, -0.0531461, 0, 182114, 0, 316.17, 0, 3.69823e+10, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.25, -1.54073, 0, -887.46, 0, -1.54073, 0, 792231, 0, 1375.4, 0, -124.203, 0, -0.21563, 0, 180083, 0, 312.644, 0, 3.62145e+10, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.255, -1.44638, 0, -833.115, 0, -1.44638, 0, 698935, 0, 1213.43, 0, 57.7895, 0, 0.100329, 0, 174173, 0, 302.383, 0, 3.451e+10, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.26, -1.4414, 0, -830.249, 0, -1.4414, 0, 694201, 0, 1205.21, 0, 19.1585, 0, 0.0332613, 0, 170877, 0, 296.662, 0, 3.33686e+10, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
2.265, -1.42202, 0, -819.085, 0, -1.42202, 0, 675861, 0, 1173.37, 0, -23.6172, 0, -0.0410021, 0, 168795, 0, 293.047, 0, 3.27022e+10, 0
#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var, M4 mean, M4 var
